epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.486,0.78725,3.38119,1.3169,0.08117,0.5,0.23081,0.20893,0.42061,3.41118,0.97438,1.251e-05,1.251e-05,1.251e-05
2,2.94224,0.68727,3.49221,1.19447,0.07609,0.5,0.25128,0.23033,0.42051,3.40399,0.97151,2.89973e-05,2.89973e-05,2.89973e-05
3,4.6282,0.65102,3.07139,1.19398,0.54919,0.75,0.5329,0.50525,0.35936,2.45986,0.92079,4.52645e-05,4.52645e-05,4.52645e-05
4,7.2743,0.63661,1.86321,1.14787,0.54919,0.75,0.5329,0.50525,0.35936,2.45986,0.92079,6.13115e-05,6.13115e-05,6.13115e-05
5,12.7505,0.51305,1.57284,0.99976,0.55735,0.74077,0.4972,0.46733,0.31606,5.06329,0.8959,7.71383e-05,7.71383e-05,7.71383e-05
6,15.0258,0.5959,1.46449,1.10079,0.55735,0.74077,0.4972,0.46733,0.31606,5.06329,0.8959,9.2745e-05,9.2745e-05,9.2745e-05
7,17.3073,0.57482,1.19727,1.08331,0.57443,0.60417,0.5066,0.48094,0.33292,1.70631,0.90178,0.000108131,0.000108131,0.000108131
8,19.5695,0.60222,1.26356,1.09497,0.57443,0.60417,0.5066,0.48094,0.33292,1.70631,0.90178,0.000123298,0.000123298,0.000123298
9,21.8145,0.62551,1.32142,1.10357,0.57443,0.60417,0.5066,0.48094,0.33292,1.70631,0.90178,0.000138244,0.000138244,0.000138244
10,24.0951,0.47325,1.16933,0.9794,0.74622,0.66193,0.6255,0.53861,0.38758,1.33298,0.92245,0.00015297,0.00015297,0.00015297
11,26.5132,0.52546,1.22629,1.02701,0.74622,0.66193,0.6255,0.53861,0.38758,1.33298,0.92245,0.000167476,0.000167476,0.000167476
12,30.8668,0.45836,1.05575,0.93465,0.74622,0.66193,0.6255,0.53861,0.38758,1.33298,0.92245,0.000181761,0.000181761,0.000181761
13,35.1496,0.53422,1.21925,1.11479,0.74622,0.66193,0.6255,0.53861,0.38758,1.33298,0.92245,0.000195827,0.000195827,0.000195827
14,37.6865,0.48108,1.14685,0.98232,0.67306,0.63692,0.65405,0.55056,0.53725,3.48603,1.10409,0.000209672,0.000209672,0.000209672
15,40.1419,0.62404,1.27719,1.10407,0.67306,0.63692,0.65405,0.55056,0.53725,3.48603,1.10409,0.000223297,0.000223297,0.000223297
16,42.6072,0.52348,0.9677,1.02775,0.67306,0.63692,0.65405,0.55056,0.53725,3.48603,1.10409,0.000236702,0.000236702,0.000236702
17,45.0534,0.45513,0.80564,0.94787,0.67306,0.63692,0.65405,0.55056,0.53725,3.48603,1.10409,0.000249886,0.000249886,0.000249886
18,47.5245,0.55046,1.01631,1.01569,0.67306,0.63692,0.65405,0.55056,0.53725,3.48603,1.10409,0.000262851,0.000262851,0.000262851
19,49.9884,0.53106,1.14516,1.03656,0.67306,0.63692,0.65405,0.55056,0.53725,3.48603,1.10409,0.000275595,0.000275595,0.000275595
20,52.4969,0.71003,1.38627,1.14079,0.19791,0.48789,0.31782,0.29657,0.43582,2.10976,1.00993,0.000288119,0.000288119,0.000288119
21,54.7385,0.63205,1.64342,1.0808,0.19791,0.48789,0.31782,0.29657,0.43582,2.10976,1.00993,0.000300423,0.000300423,0.000300423
22,56.9206,0.55389,1.41097,1.04491,0.19791,0.48789,0.31782,0.29657,0.43582,2.10976,1.00993,0.000312507,0.000312507,0.000312507
23,59.155,0.60963,1.51465,1.02981,0.19791,0.48789,0.31782,0.29657,0.43582,2.10976,1.00993,0.000324371,0.000324371,0.000324371
24,61.3548,0.69341,1.61942,1.14612,0.19791,0.48789,0.31782,0.29657,0.43582,2.10976,1.00993,0.000336014,0.000336014,0.000336014
25,63.5997,0.60593,1.56527,1.04736,0.19791,0.48789,0.31782,0.29657,0.43582,2.10976,1.00993,0.000347438,0.000347438,0.000347438
26,65.8588,0.6792,1.56869,1.11582,0.19791,0.48789,0.31782,0.29657,0.43582,2.10976,1.00993,0.000348195,0.000348195,0.000348195
27,68.1065,0.76251,1.86662,1.25036,0.19791,0.48789,0.31782,0.29657,0.43582,2.10976,1.00993,0.000345443,0.000345443,0.000345443
28,70.4135,0.71529,1.50695,1.08157,0.72904,0.625,0.64908,0.52111,0.45659,2.38041,0.96817,0.000342691,0.000342691,0.000342691
29,72.6955,0.5481,1.05832,1.03384,0.72904,0.625,0.64908,0.52111,0.45659,2.38041,0.96817,0.000339938,0.000339938,0.000339938
30,74.923,0.70346,1.25665,1.10591,0.72904,0.625,0.64908,0.52111,0.45659,2.38041,0.96817,0.000337186,0.000337186,0.000337186
31,77.183,0.65421,0.93071,1.05154,0.72904,0.625,0.64908,0.52111,0.45659,2.38041,0.96817,0.000334434,0.000334434,0.000334434
32,79.4424,0.61928,0.8489,1.00717,0.72904,0.625,0.64908,0.52111,0.45659,2.38041,0.96817,0.000331682,0.000331682,0.000331682
33,81.6738,0.57416,0.80549,0.94888,0.72904,0.625,0.64908,0.52111,0.45659,2.38041,0.96817,0.00032893,0.00032893,0.00032893
34,83.9424,0.66414,1.06169,1.04364,0.72904,0.625,0.64908,0.52111,0.45659,2.38041,0.96817,0.000326177,0.000326177,0.000326177
35,86.1491,0.733,1.36316,1.17453,0.72904,0.625,0.64908,0.52111,0.45659,2.38041,0.96817,0.000323425,0.000323425,0.000323425
36,88.4287,0.58587,1.03039,1.00447,0.6254,0.625,0.54776,0.53118,0.4003,4.00736,0.97402,0.000320673,0.000320673,0.000320673
37,90.6844,0.45648,0.62858,0.98797,0.6254,0.625,0.54776,0.53118,0.4003,4.00736,0.97402,0.000317921,0.000317921,0.000317921
38,92.9384,0.69452,0.80401,1.21377,0.6254,0.625,0.54776,0.53118,0.4003,4.00736,0.97402,0.000315169,0.000315169,0.000315169
39,95.1902,0.48294,0.55771,0.94983,0.6254,0.625,0.54776,0.53118,0.4003,4.00736,0.97402,0.000312416,0.000312416,0.000312416
40,97.3986,0.55151,0.65187,1.02086,0.6254,0.625,0.54776,0.53118,0.4003,4.00736,0.97402,0.000309664,0.000309664,0.000309664
41,99.578,0.54086,0.70369,1.01838,0.6254,0.625,0.54776,0.53118,0.4003,4.00736,0.97402,0.000306912,0.000306912,0.000306912
42,101.852,0.59408,0.68787,1.07778,0.6254,0.625,0.54776,0.53118,0.4003,4.00736,0.97402,0.00030416,0.00030416,0.00030416
43,104.104,0.52781,0.59149,0.96099,0.6254,0.625,0.54776,0.53118,0.4003,4.00736,0.97402,0.000301408,0.000301408,0.000301408
44,106.384,0.56744,0.73203,1.08462,0.84977,0.62926,0.73493,0.67824,0.41232,1.08085,0.96644,0.000298655,0.000298655,0.000298655
45,108.845,0.59218,0.63185,1.0978,0.84977,0.62926,0.73493,0.67824,0.41232,1.08085,0.96644,0.000295903,0.000295903,0.000295903
46,111.309,0.51371,0.61063,0.99385,0.84977,0.62926,0.73493,0.67824,0.41232,1.08085,0.96644,0.000293151,0.000293151,0.000293151
47,113.791,0.51288,0.53785,0.96495,0.84977,0.62926,0.73493,0.67824,0.41232,1.08085,0.96644,0.000290399,0.000290399,0.000290399
48,116.221,0.5887,0.63793,1.08435,0.84977,0.62926,0.73493,0.67824,0.41232,1.08085,0.96644,0.000287647,0.000287647,0.000287647
49,118.682,0.55581,0.56367,1.03284,0.84977,0.62926,0.73493,0.67824,0.41232,1.08085,0.96644,0.000284894,0.000284894,0.000284894
50,121.11,0.48418,0.46512,0.95762,0.84977,0.62926,0.73493,0.67824,0.41232,1.08085,0.96644,0.000282142,0.000282142,0.000282142
51,126.413,0.5294,0.63313,1.01342,0.84977,0.62926,0.73493,0.67824,0.41232,1.08085,0.96644,0.00027939,0.00027939,0.00027939
52,128.916,0.48754,0.50383,1.02247,0.89736,0.74453,0.85,0.79577,0.37891,0.58629,0.98957,0.000276638,0.000276638,0.000276638
53,131.371,0.43474,0.50347,0.97658,0.89736,0.74453,0.85,0.79577,0.37891,0.58629,0.98957,0.000273886,0.000273886,0.000273886
54,133.768,0.43633,0.49325,0.94232,0.89736,0.74453,0.85,0.79577,0.37891,0.58629,0.98957,0.000271133,0.000271133,0.000271133
55,136.205,0.4571,0.45049,0.92183,0.89736,0.74453,0.85,0.79577,0.37891,0.58629,0.98957,0.000268381,0.000268381,0.000268381
56,138.696,0.51738,0.61126,1.0208,0.89736,0.74453,0.85,0.79577,0.37891,0.58629,0.98957,0.000265629,0.000265629,0.000265629
57,141.161,0.48922,0.51718,0.93481,0.89736,0.74453,0.85,0.79577,0.37891,0.58629,0.98957,0.000262877,0.000262877,0.000262877
58,143.592,0.47531,0.4891,1.01606,0.89736,0.74453,0.85,0.79577,0.37891,0.58629,0.98957,0.000260125,0.000260125,0.000260125
59,146.038,0.47657,0.541,1.01273,0.89736,0.74453,0.85,0.79577,0.37891,0.58629,0.98957,0.000257372,0.000257372,0.000257372
60,148.554,0.45009,0.46637,0.92756,0.80468,0.75,0.85,0.78182,0.4158,0.68637,1.01037,0.00025462,0.00025462,0.00025462
61,150.791,0.49247,0.48023,0.99564,0.80468,0.75,0.85,0.78182,0.4158,0.68637,1.01037,0.000251868,0.000251868,0.000251868
62,152.988,0.45406,0.48541,0.95853,0.80468,0.75,0.85,0.78182,0.4158,0.68637,1.01037,0.000249116,0.000249116,0.000249116
63,155.206,0.54391,0.55127,1.04667,0.80468,0.75,0.85,0.78182,0.4158,0.68637,1.01037,0.000246364,0.000246364,0.000246364
64,157.437,0.48886,0.44971,1.0208,0.80468,0.75,0.85,0.78182,0.4158,0.68637,1.01037,0.000243611,0.000243611,0.000243611
65,159.675,0.50661,0.50685,1.03442,0.80468,0.75,0.85,0.78182,0.4158,0.68637,1.01037,0.000240859,0.000240859,0.000240859
66,161.909,0.45337,0.51832,0.93578,0.80468,0.75,0.85,0.78182,0.4158,0.68637,1.01037,0.000238107,0.000238107,0.000238107
67,164.132,0.46948,0.46193,0.97535,0.80468,0.75,0.85,0.78182,0.4158,0.68637,1.01037,0.000235355,0.000235355,0.000235355
68,166.65,0.46456,0.4444,0.99413,0.90953,0.75,0.78792,0.73047,0.39756,0.64844,0.97792,0.000232603,0.000232603,0.000232603
69,169.705,0.51374,0.54631,1.00287,0.90953,0.75,0.78792,0.73047,0.39756,0.64844,0.97792,0.00022985,0.00022985,0.00022985
70,172.609,0.40015,0.36024,0.93752,0.90953,0.75,0.78792,0.73047,0.39756,0.64844,0.97792,0.000227098,0.000227098,0.000227098
71,175.209,0.54818,0.582,1.04807,0.90953,0.75,0.78792,0.73047,0.39756,0.64844,0.97792,0.000224346,0.000224346,0.000224346
72,177.436,0.44021,0.40878,0.95238,0.90953,0.75,0.78792,0.73047,0.39756,0.64844,0.97792,0.000221594,0.000221594,0.000221594
73,179.67,0.48187,0.40554,0.99909,0.90953,0.75,0.78792,0.73047,0.39756,0.64844,0.97792,0.000218842,0.000218842,0.000218842
74,181.901,0.39201,0.36868,0.94035,0.90953,0.75,0.78792,0.73047,0.39756,0.64844,0.97792,0.000216089,0.000216089,0.000216089
75,184.089,0.4684,0.42055,0.96698,0.90953,0.75,0.78792,0.73047,0.39756,0.64844,0.97792,0.000213337,0.000213337,0.000213337
76,186.381,0.44432,0.47568,0.98897,0.91174,0.75,0.80844,0.74555,0.37456,0.62466,0.95501,0.000210585,0.000210585,0.000210585
77,188.672,0.46694,0.49852,0.9968,0.91174,0.75,0.80844,0.74555,0.37456,0.62466,0.95501,0.000207833,0.000207833,0.000207833
78,190.88,0.43536,0.47562,0.93645,0.91174,0.75,0.80844,0.74555,0.37456,0.62466,0.95501,0.000205081,0.000205081,0.000205081
79,193.127,0.37961,0.39092,0.91092,0.91174,0.75,0.80844,0.74555,0.37456,0.62466,0.95501,0.000202328,0.000202328,0.000202328
80,195.361,0.52178,0.49533,1.03891,0.91174,0.75,0.80844,0.74555,0.37456,0.62466,0.95501,0.000199576,0.000199576,0.000199576
81,197.587,0.39719,0.38879,0.93435,0.91174,0.75,0.80844,0.74555,0.37456,0.62466,0.95501,0.000196824,0.000196824,0.000196824
82,199.806,0.44829,0.47694,1.00817,0.91174,0.75,0.80844,0.74555,0.37456,0.62466,0.95501,0.000194072,0.000194072,0.000194072
83,202.041,0.40715,0.45187,0.92285,0.91174,0.75,0.80844,0.74555,0.37456,0.62466,0.95501,0.00019132,0.00019132,0.00019132
