epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.40587,0.70723,4.14201,1.08007,0,0,0,0,0.48968,3.89679,0.80905,0,0,0
2,4.46271,0.80662,4.27709,1.14106,0,0,0,0,0.48667,3.89213,0.80522,4.08743e-06,4.08743e-06,4.08743e-06
3,6.5717,0.78147,4.11323,1.14779,0,0,0,0,0.48122,3.88512,0.79992,8.00974e-06,8.00974e-06,8.00974e-06
4,8.5808,0.81168,4.07182,1.18085,0,0,0,0,0.47715,3.87489,0.79331,1.17669e-05,1.17669e-05,1.17669e-05
5,10.6188,0.76239,4.22403,1.11682,0,0,0,0,0.48087,3.85057,0.77763,1.53589e-05,1.53589e-05,1.53589e-05
6,12.5938,0.75635,4.08988,1.09638,0,0,0,0,0.46368,3.83344,0.76715,1.87859e-05,1.87859e-05,1.87859e-05
7,14.6697,0.68393,4.0961,1.11966,0,0,0,0,0.46089,3.82074,0.75855,2.20476e-05,2.20476e-05,2.20476e-05
8,17.0856,0.67627,4.10091,1.07782,0,0,0,0,0.45355,3.80778,0.75277,2.51443e-05,2.51443e-05,2.51443e-05
9,19.3555,0.70423,4.03511,1.07643,0,0,0,0,0.454,3.8017,0.74475,2.80758e-05,2.80758e-05,2.80758e-05
10,21.3515,0.66609,4.10838,1.05345,0,0,0,0,0.45394,3.80251,0.74258,3.08422e-05,3.08422e-05,3.08422e-05
11,23.8661,0.65337,4.05913,1.06635,0,0,0,0,0.44889,3.79992,0.74251,3.34434e-05,3.34434e-05,3.34434e-05
12,26.1215,0.57852,4.01276,0.95475,0,0,0,0,0.43865,3.79588,0.73932,3.58795e-05,3.58795e-05,3.58795e-05
13,28.4652,0.61699,3.82054,1.0146,0,0,0,0,0.42974,3.79174,0.74017,3.81505e-05,3.81505e-05,3.81505e-05
14,30.7089,0.55681,3.81863,0.98318,0,0,0,0,0.42077,3.78709,0.73789,4.02563e-05,4.02563e-05,4.02563e-05
15,33.1307,0.70856,3.81927,1.06218,0,0,0,0,0.40725,3.78094,0.73641,4.21971e-05,4.21971e-05,4.21971e-05
16,35.352,0.5877,3.83495,0.9859,0,0,0,0,0.39043,3.77441,0.73376,4.39726e-05,4.39726e-05,4.39726e-05
17,37.8033,0.54322,3.84424,0.9614,0,0,0,0,0.38169,3.76863,0.73134,4.55831e-05,4.55831e-05,4.55831e-05
18,40.0454,0.62767,3.69888,1.00311,0,0,0,0,0.38169,3.76863,0.73134,4.70284e-05,4.70284e-05,4.70284e-05
19,42.4431,0.60819,3.70968,1.01629,0,0,0,0,0.38162,3.76034,0.73263,4.83086e-05,4.83086e-05,4.83086e-05
20,44.7149,0.65377,3.6328,1.01677,0,0,0,0,0.38162,3.76034,0.73263,4.94237e-05,4.94237e-05,4.94237e-05
21,46.8469,0.6288,3.69037,0.97973,0.25,0.125,0.1875,0.17963,0.3811,3.75058,0.73154,5.03736e-05,5.03736e-05,5.03736e-05
22,48.9624,0.5688,3.58194,0.98647,0.25,0.125,0.1875,0.17963,0.3811,3.75058,0.73154,5.11584e-05,5.11584e-05,5.11584e-05
23,51.0353,0.55564,3.62016,0.96322,0.25,0.1875,0.21875,0.20617,0.38825,3.73886,0.73448,5.17781e-05,5.17781e-05,5.17781e-05
24,53.0418,0.64767,3.45022,1.07644,0.25,0.1875,0.21875,0.20617,0.38825,3.73886,0.73448,5.22326e-05,5.22326e-05,5.22326e-05
25,55.1271,0.58738,3.49898,0.99685,0.2,0.25,0.23625,0.2238,0.39002,3.72648,0.73958,5.2522e-05,5.2522e-05,5.2522e-05
26,57.1084,0.61196,3.50898,0.98863,0.2,0.25,0.23625,0.2238,0.39002,3.72648,0.73958,5.26463e-05,5.26463e-05,5.26463e-05
27,59.0933,0.69937,3.44634,1.06669,0.11111,0.25,0.24875,0.23454,0.39952,3.70647,0.74011,5.26054e-05,5.26054e-05,5.26054e-05
28,61.1157,0.6422,3.60002,0.98823,0.11111,0.25,0.24875,0.23454,0.39952,3.70647,0.74011,5.23994e-05,5.23994e-05,5.23994e-05
29,63.2247,0.52924,3.4255,0.9917,0.09091,0.25,0.24875,0.23428,0.40189,3.68392,0.73951,5.20283e-05,5.20283e-05,5.20283e-05
30,65.3207,0.69878,3.43252,1.05394,0.09091,0.25,0.24875,0.23428,0.40189,3.68392,0.73951,5.1492e-05,5.1492e-05,5.1492e-05
31,67.5549,0.54863,3.41941,0.98497,0.14646,0.375,0.29385,0.2767,0.39634,3.66303,0.73631,5.07906e-05,5.07906e-05,5.07906e-05
32,69.7019,0.59564,3.44254,0.9672,0.14646,0.375,0.29385,0.2767,0.39634,3.66303,0.73631,4.99241e-05,4.99241e-05,4.99241e-05
33,72.0459,0.54219,3.43871,0.92279,0.18182,0.5,0.3392,0.31604,0.3902,3.64125,0.73568,4.88924e-05,4.88924e-05,4.88924e-05
34,74.1246,0.59195,3.34141,1.00399,0.18182,0.5,0.3392,0.31604,0.3902,3.64125,0.73568,4.76956e-05,4.76956e-05,4.76956e-05
35,76.2789,0.57193,3.25638,0.98826,0.25,0.66667,0.4226,0.38534,0.38741,3.61929,0.73539,4.63337e-05,4.63337e-05,4.63337e-05
36,78.3685,0.60853,3.29599,0.97945,0.25,0.66667,0.4226,0.38534,0.38741,3.61929,0.73539,4.48067e-05,4.48067e-05,4.48067e-05
37,80.7144,0.48827,3.13648,0.92824,0.22222,0.66667,0.41505,0.38617,0.38018,3.5951,0.73421,4.31145e-05,4.31145e-05,4.31145e-05
38,82.8229,0.7498,3.1386,1.12423,0.22222,0.66667,0.41505,0.38617,0.38018,3.5951,0.73421,4.12571e-05,4.12571e-05,4.12571e-05
39,85.2787,0.5297,3.17512,0.91622,0.21212,0.66667,0.40582,0.38002,0.37524,3.57241,0.73416,3.92347e-05,3.92347e-05,3.92347e-05
40,87.2986,0.56521,3.05116,0.96391,0.21212,0.66667,0.40582,0.38002,0.37524,3.57241,0.73416,3.70471e-05,3.70471e-05,3.70471e-05
41,89.3366,0.41109,2.8919,0.84415,0.21212,0.66667,0.42244,0.3978,0.36842,3.55101,0.73294,3.46944e-05,3.46944e-05,3.46944e-05
42,91.3581,0.422,2.80898,0.84037,0.21212,0.66667,0.42244,0.3978,0.36842,3.55101,0.73294,3.21766e-05,3.21766e-05,3.21766e-05
43,93.5066,0.43641,2.77457,0.84698,0.22917,0.75,0.43542,0.40948,0.36223,3.53023,0.73087,2.94936e-05,2.94936e-05,2.94936e-05
44,95.4711,0.41465,2.7815,0.83176,0.22917,0.75,0.43542,0.40948,0.36223,3.53023,0.73087,2.66455e-05,2.66455e-05,2.66455e-05
45,97.4938,0.41052,2.75119,0.86896,0.22917,0.75,0.43954,0.41319,0.35726,3.50968,0.72882,2.36322e-05,2.36322e-05,2.36322e-05
46,99.5571,0.44147,2.8364,0.89838,0.22917,0.75,0.43954,0.41319,0.35726,3.50968,0.72882,2.04538e-05,2.04538e-05,2.04538e-05
47,101.661,0.36917,2.74962,0.87657,0.22917,0.75,0.43954,0.41319,0.35182,3.49412,0.72823,1.71103e-05,1.71103e-05,1.71103e-05
48,103.943,0.40857,2.70359,0.89146,0.22917,0.75,0.43954,0.41319,0.35182,3.49412,0.72823,1.36017e-05,1.36017e-05,1.36017e-05
49,105.978,0.40607,2.65063,0.87661,0.22917,0.75,0.43954,0.41319,0.34679,3.48199,0.72736,9.92794e-06,9.92794e-06,9.92794e-06
50,108.067,0.49045,2.64346,0.88258,0.22917,0.75,0.43954,0.41319,0.34679,3.48199,0.72736,6.08903e-06,6.08903e-06,6.08903e-06
